strain,id,race,flavors,effects,0
Kaia Kush,1138,hybrid,"['Spicy/Herbal', 'Earthy', 'Flowery']","{'positive': ['Relaxed', 'Happy', 'Creative', 'Energetic', 'Uplifted'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Stress', 'Lack of Appetite', 'Nausea', 'Headaches']}","Originally bred by Woodhorse Seeds, Herijuana is a combination of the highly regarded Humboldt County Afghan indica called Petrolia Headstash and an outdoor hybrid from Kentucky known only as the “Killer New Haven” strain. This combo was worked by breeders for 15 generations to create an inbred line (IBL), meaning that most of the seeds will grow into plants that are nearly identical. Herijuana produces large dense flowers on an open, stretchy plant, with aromas and flavors ranging from spicy earth and sandalwood to hashy fruit. THC levels have been measured at over 25%, and the high provides a heavy, almost numbing feeling. "
Kalalau Kush,1139,hybrid,"['Earthy', 'Mango', 'Pineapple']","{'positive': ['Euphoric', 'Happy', 'Energetic', 'Tingly', 'Aroused'], 'negative': [], 'medical': []}","Hibiscus Sunrise is Colorado Seed Inc.’s version of “beach chair weed.” This relaxing, clear headed indica-dominant hybrid emanates chill vibes made for bright days. Offering a mental clarity that enables activity, Hibiscus Sunrise also provides a body high that is dense but not weighted. Pair this strain with a good playlist and indulge in the sights and smells of a world observed from a higher perspective. "
Kalashnikova,1140,hybrid,"['Sweet', 'Flowery', 'Earthy']","{'positive': ['Euphoric', 'Happy', 'Talkative', 'Uplifted', 'Focused'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Fatigue']}",Higher Power is a cross between the hybrid strain Geezus and the sativa African Queen bred by Wild Oregon Weed.  It has a delicious odor akin to grape Froot Loops and has been measured at 24% THC.  This sativa offers a truly stimulating high that will leave you energized and bursting with creativity. 
Kali 47,1142,sativa,"['Sweet', 'Vanilla']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted'], 'negative': [], 'medical': ['Depression', 'Fatigue', 'Headaches', 'Inflammation', 'Muscle Spasms']}","Highwayman is a cross of William’s Wonder and Tang Tang created by Colorado breeder Tierra Rojo and supposedly named in honor of Willie Nelson and the rest of the famed outlaw country supergroup, the Highwaymen. An even mix of sativa and indica genetics, it produces an uplifting, creative head high along with a subtle body buzz and aromas of chocolate and coffee.  This strain can be beneficial in treating pain, anxiety, and depression."
Kali China,1143,indica,"['Earthy', 'Mango', 'Minty']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Sleepy'], 'negative': [], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea']}","Himalayan Blackberry by Soulshine Cannabis is a strain that blends earthy flavors with relaxed physical attributes. This indica-dominant cut combines Nepalese with North Indian and offers stoney effects that help relieve pain while imbuing the mind with subtle invigoration. The aroma is rich and floral, speaking to strong Kush overtones that are amplified by the sativa qualities of Nepalese. Enjoy this strain near the end of the day to fully harness its sedative effects."
Kali Dog,1144,hybrid,"['Citrus', 'Earthy', 'Lemon']","{'positive': ['Relaxed', 'Happy', 'Energetic', 'Uplifted', 'Sleepy'], 'negative': ['Dry Eyes'], 'medical': ['Pain', 'Stress', 'Lack of Appetite', 'Headaches', 'Eye Pressure']}","The Himalayan mountains are home to many cannabis strains. Parents of Himalayan Gold originate in Himalayan-bordering countries of Nepal and North India. When grown indoors, Himalayan Gold plants can reach up to 5 feet. However when grown outdoors, they have been known to reach up to 8 feet in length. The aromas of this plant have been characterized as a sweet and spicy chocolate and a hint of pepper. With a THC content up to 15% and a CBD of 1.4%, the high hits down and then works its way up."
Kali Mist,1145,sativa,"['Earthy', 'Citrus', 'Sweet']","{'positive': ['Happy', 'Creative', 'Energetic', 'Uplifted', 'Focused'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Muscle Spasms']}","Hindu Kush is a pure indica strain named after the mountain range stretching 500 miles between Pakistan and Afghanistan where it originated. The harsh climate of its homeland has conditioned this strain to express a thick, protective coat of crystal trichomes cherished by hash makers worldwide. With a subtle sweet and earthy sandalwood aroma, Hindu Kush induces a deep sense of calm that helps bring relief to those suffering pain, nausea, and stress disorders."
Kandahar,1146,indica,"['Earthy', 'Apricot', 'Honey']","{'positive': ['Relaxed', 'Euphoric', 'Sleepy', 'Giggly'], 'negative': ['Dizzy', 'Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress']}","Also known as Skunk Kush, Hindu Skunk is a cross of Hindu Kush and Skunk #1. The taste of the smoke is smooth and provides a strong and very mellow high.  "
Kandy Kush,1147,hybrid,"['Sweet', 'Citrus', 'Lemon']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Fatigue']}","Hippie Chicken is a mostly sativa strain with strongly euphoric effects that border on psychedelic – hence the name. A cross between Blueberry and Alaskan Thunder Fuck, Hippie Chicken takes after its sativa parent in its giggly, energetic effects which are accented only slightly by the tingly, relaxing effects passed down by Blueberry. "
Kaptn’s Grand Dream,1148,hybrid,"['Ammonia', 'Blueberry', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Giggly'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Cramps', 'Lack of Appetite', 'Headache', 'Headaches']}","Don’t worry, Hippie Crippler isn’t some strange affliction you may get from hanging around with flower children, it’s an uplifting sativa-dominant hybrid. Patients love this cross of AK-47 and Blue Satellite for its sweet smell and taste. Take this Hippie home and you’ll be glad you did. While this strain is popular for daytime, it may leave some patients bleary-eyed and a little spacey depending on tolerance and dosage."
Karma Bitch,1149,hybrid,"['Coffee', 'Earthy', 'Tea']","{'positive': ['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Spasticity']}","Hoarfrost by Cabin Fever Seed Breeders is a pungent hybrid with incredible trichome production. By crossing the mysterious White Forest with Raskal’s own White Fire, CFSB created a stimulating cross with heady euphoria that is ideal for long conversations and afternoons full of imagination. The flower emits a scent of fuel and hash with a gentle undercurrent of tart fruit. Enjoy Hoarfrost to elevate mood and stimulate creativity.  "
Katsu Bubba Kush,1150,indica,"['Pungent', 'Grape', 'Plum']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Tingly'], 'negative': ['Dizzy', 'Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']}",Hobbit by Kannabia Seeds is a resilient autoflowering variety with sweetness and strong elemental resistance. This strain has a sweet aroma that has been described as “strawberry candy” and an equally sweet smoke with latent earthy notes. Hobbit deftly combines stimulating Haze elements with a pervasive body buzz that is lightly weighted while remaining pleasant and functional. Many growers covet this autoflowering wonder for its quick 65 day flowering time and above average yield.  
Katsu Kush,1151,indica,"['Earthy', 'Sweet', 'Berry']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Sleepy', 'Giggly'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Muscle Spasms']}","Winner of the 2002 Cannabis Cup for best indica, Hog's breath was bred from Hindu Kush and Afghani in Tennessee. Her buds are light and dark green with orange hairs and a healthy amount of crystals on its dense buds. The taste has been described as cheddar and provides a overall tingly mind and body high. The THC content is up to 13% and CBD up to 0.47%."
Kaua’i Electric,1152,sativa,"['Orange', 'Tree Fruit', 'Sweet']","{'positive': ['Happy', 'Creative', 'Energetic', 'Uplifted', 'Focused'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']}","Holland's Hope was one of the first cannabis varieties designed for tough outdoor conditions. In the early 1980s, Holland's Hope was created by White Label Seed Company, a partner breeder of Sensi Seeds, and named for her ability to produce excellent results in a wet and unpredictable summer, giving hope to Holland's outdoor growers. Because she was bred for wet circumstances, Holland’s Hope is fungus-resistant. This pure indica produces solid, heavy buds that will provide you with a knock-down stone."
Kelly Hill Gold,1153,indica,"['Earthy', 'Pepper', 'Coffee']","{'positive': ['Euphoric', 'Happy', 'Energetic', 'Talkative', 'Aroused'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Pain', 'Stress', 'Cramps', 'Inflammation', 'Muscle Spasms']}","Hailing from southern California, Hollywood OG is an indica-dominant hybrid that delivers strong cerebrally focused effects with a sweet, earthy flavor. A subtle floral aroma sits underneath the dominant smell of lemon and diesel. Thick buds sparkle with crystal trichomes, which begin to hint at this strain’s potency. Hollywood OG’s onset is immediate and hard-hitting, making this indica hybrid a top choice for patients needing fast relief of pain, tension, and stress."
Ken's Kush,1154,hybrid,"['Berry', 'Blueberry', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Focused', 'Giggly'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']}","Holy Ghost is a harmony of attractive genetics that balance the relaxing nature of indicas with sativas’ cerebral activity. Parent strains Satori, Amnesia Haze, Pitbull, and Durban Poison combine to create a pungent blend of diesel and citrus aromas that are enhanced by an earthy exhale of spiced sandalwood. The interplay of sativa and indica genetics relax the body without putting you to sleep, and energize the mind without overstimulation. Holy Ghost is an enjoyable answer when faced with stress or depression. "
Kerala Krush,1155,sativa,"['Mango', 'Sweet', 'Orange']","{'positive': ['Relaxed', 'Hungry', 'Happy', 'Energetic', 'Focused'], 'negative': [], 'medical': ['Depression', 'Cramps', 'Nausea', 'Fatigue']}","Holy Grail Kush is a newer strain created by seed breeders DNA Genetics and Reserva Privada Colorado. It entered into the Seed Company Hybrids category at the 2011 High Times Cannabis Cup. As the offspring of multi-award winners OG #18 and Kosher Kush, it’s no surprise that Holy Grail Kush came out on top and is said to have nabbed the competition’s first-ever perfect score. The plants are easy to grow, with large, dense buds appearing at 9 to 10 weeks. Most of Holy Grail Kush’s praise centers around its potency; THC levels have tested at over 20%, but this hybrid produces a more mellow relaxation than the melt-your-face-off indica sensation the name might suggest. The aroma of this plant is pure kush and has a strong spicy citrus smell, both while growing and once harvested, that is uniquely complex."
Key Lime Pie,1156,hybrid,"['Lime', 'Sweet', 'Citrus']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Focused'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']}","Honey Bananas from Elemental Seeds is a heavy-handed hybrid strain bred from Strawberry Banana and Honey Boo Boo. This cannabis strain earns its name with a resinous coat as sticky as honey and an unmistakable banana aroma. She leans heavily toward the indica side of the family, providing weighty full-body effects coupled with an invigorating buzz of cerebral euphoria."
Khalifa Kush,1157,hybrid,"['Lemon', 'Pungent', 'Citrus']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Giggly'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Headaches']}","An 80% indica by DNA Genetics, Honey Boo Boo is a limited edition strain that crosses a Bubba Kush mother with a Captain Krypt OG male. With a sweet flavor that in part lends this strain her name, Honey Boo Boo deals a heavy-handed blast of euphoria that melts throughout the body. Her dense buds finish flowering after 8 to 9 weeks, and her maturation is often marked by darkened purple leaf tips."
Khufu,1159,indica,"['Pungent', 'Sweet', 'Woody']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']}","Honey Rock by Sumo Seeds is the product of selective breeding and the pursuit of exceptional cannabis. By crossing Super Widow (White Widow x Super Skunk) with Swazi Poison (Swazi x Durban Poison), Sumo Seeds created a rock-hard indica-dominant hybrid that combines landrace genetics with refined hybrids. Honey Rock’s effects are deeply soothing, offering stoney sedation and relief from aches and pains. This is not a daytime strain; the eclectic cannabinoid profile and overall potency make this strain one of Sumo’s heaviest. "
